model	dataset	species	tx_id	gene	tx_biotype	orf_type	orf_tstart	orf_tstop	tx_len	psites_total	psites_in_orf	r_full	r_drop1	r_drop3	r_orf	r_drop_orf3	top1_frac	spread90	f0_obs_in_orf	score
attn	human_hepatocytes	human	ENST00000371646.10	HSP90AB1	protein_coding	annotated	96	2270	2555	88408	85271	0.8617	0.8490	0.8436	0.8583	0.8386	0.0264	0.3120	0.8617	0.7754
attn	human_hepatocytes	human	ENST00000282903.10	PLOD2	protein_coding	annotated	196	2472	3749	163415	161671	0.8451	0.8355	0.8206	0.8361	0.8085	0.0152	0.3511	0.8415	0.7735
attn	human_hepatocytes	human	ENST00000539310.5	PLS3	protein_coding	annotated	34	1926	3037	62754	62680	0.8593	0.8507	0.8417	0.8520	0.8309	0.0247	0.4010	0.8444	0.7724
attn	human_hepatocytes	human	ENST00000703694.1	GNB1	protein_coding	annotated	98	1120	3139	31367	29925	0.8361	0.8439	0.8513	0.8251	0.8411	0.0289	0.3762	0.8911	0.7717
attn	human_hepatocytes	human	ENST00000615950.4	ILF2	protein_coding	uORF	107	238	1906	20844	620	0.7899	0.7810	0.7611	0.9119	0.8151	0.0191	0.4541	0.8435	0.7705
attn	human_hepatocytes	human	ENST00000392066.7	ACSL3	protein_coding	annotated	417	2579	3147	15466	14845	0.8412	0.8220	0.8268	0.8411	0.8264	0.0238	0.5487	0.8402	0.7702
attn	human_hepatocytes	human	ENST00000555462.5	PPP4R3A	protein_coding	uORF	120	218	3236	4322	306	0.7104	0.7080	0.6882	0.8158	0.8386	0.0287	0.6440	0.9118	0.7699
attn	human_hepatocytes	human	ENST00000951496.1	EFEMP1	protein_coding	annotated	202	1728	2186	656295	654863	0.8693	0.8515	0.8518	0.8640	0.8443	0.0309	0.2708	0.8603	0.7699
attn	human_hepatocytes	human	ENST00000535020.6	NAP1L1	protein_coding	annotated	67	1218	1686	23792	22064	0.8965	0.8821	0.8740	0.8890	0.8609	0.0374	0.4043	0.7971	0.7690
attn	human_hepatocytes	human	ENST00000870040.1	GGNBP2	protein_coding	annotated	252	2345	2782	16414	16362	0.8340	0.8342	0.8202	0.8296	0.8145	0.0209	0.5362	0.8451	0.7658
attn	human_hepatocytes	human	ENST00000438793.8	PAM	protein_coding	annotated	418	3339	3990	32251	28053	0.8136	0.8150	0.7913	0.8131	0.8063	0.0189	0.5067	0.8467	0.7629
attn	human_hepatocytes	human	ENST00000880561.1	NAP1L1	protein_coding	annotated	107	1369	2370	22951	22944	0.8996	0.8842	0.8614	0.8961	0.8558	0.0387	0.4153	0.7936	0.7611
attn	human_hepatocytes	human	ENST00000200639.9	LAMP2	protein_coding	annotated	128	1360	6535	71284	69622	0.8371	0.8519	0.8425	0.8206	0.8234	0.0266	0.3564	0.8675	0.7609
attn	human_hepatocytes	human	ENST00000948991.1	SFXN1	protein_coding	annotated	106	1092	2967	11797	11465	0.8293	0.8367	0.8329	0.8230	0.8286	0.0287	0.4934	0.8578	0.7606
attn	human_hepatocytes	human	ENST00000439647.5	AP2M1	protein_coding	uORF	40	207	1950	121794	9010	0.6988	0.7301	0.7544	0.6607	0.8391	0.0330	0.3244	0.8895	0.7601
attn	human_hepatocytes	human	ENST00000852911.1	CAST	protein_coding	annotated	204	2513	3156	33143	33062	0.8403	0.8321	0.8072	0.8352	0.7998	0.0174	0.4605	0.8553	0.7599
attn	human_hepatocytes	human	ENST00000398129.5	ADD1	protein_coding	annotated	21	2234	3787	55159	54882	0.8531	0.8295	0.8312	0.8478	0.8231	0.0272	0.3935	0.8754	0.7592
attn	human_hepatocytes	human	ENST00000332556.5	LAMP1	protein_coding	annotated	197	1450	2701	100372	99082	0.8726	0.8583	0.8476	0.8666	0.8368	0.0327	0.2929	0.8945	0.7585
attn	human_hepatocytes	human	ENST00000300249.10	MAPRE2	protein_coding	annotated	128	1111	4212	23529	23293	0.8327	0.8319	0.8314	0.8106	0.8079	0.0214	0.4338	0.8376	0.7584
attn	human_hepatocytes	human	ENST00000434600.6	LAMP2	protein_coding	annotated	197	1432	2089	66921	65150	0.8223	0.8434	0.8302	0.8173	0.8249	0.0283	0.3534	0.8686	0.7581
attn	human_hepatocytes	human	ENST00000376016.8	YME1L1	protein_coding	annotated	175	2325	4191	34158	33560	0.8504	0.8352	0.8253	0.8440	0.8156	0.0252	0.4637	0.8663	0.7568
attn	human_hepatocytes	human	ENST00000157600.8	LMCD1	protein_coding	annotated	117	1214	8284	13825	13618	0.8402	0.8251	0.8417	0.8199	0.8184	0.0265	0.4767	0.8415	0.7563
attn	human_hepatocytes	human	ENST00000552699.5	TMBIM6	protein_coding	annotated	236	1123	2964	127120	125773	0.8333	0.8581	0.8720	0.8228	0.8622	0.0433	0.2774	0.8229	0.7554
attn	human_hepatocytes	human	ENST00000378165.9	NMT2	protein_coding	annotated	82	1578	5003	15062	15030	0.8335	0.8235	0.8229	0.8186	0.8056	0.0225	0.5119	0.8622	0.7538
attn	human_hepatocytes	human	ENST00000902410.1	TAGLN	protein_coding	annotated	11	685	1086	70951	70951	0.8704	0.8542	0.8559	0.8632	0.8461	0.0386	0.3362	0.8779	0.7528
attn	human_hepatocytes	human	ENST00000420282.6	PPP1CB	protein_coding	annotated	196	1179	2827	52496	50973	0.8594	0.8562	0.8451	0.8563	0.8357	0.0351	0.3422	0.8105	0.7520
attn	human_hepatocytes	human	ENST00000393896.6	ACLY	protein_coding	annotated	9	3446	3682	48325	48309	0.7997	0.7928	0.7815	0.7980	0.7794	0.0130	0.4474	0.8754	0.7505
attn	human_hepatocytes	human	ENST00000906079.1	RAB10	protein_coding	annotated	263	865	4280	21848	20532	0.8676	0.8594	0.8845	0.8600	0.8795	0.0514	0.3676	0.8662	0.7503
attn	human_hepatocytes	human	ENST00000892123.1	ZNF644	protein_coding	Overlap_uORF	464	616	6065	7171	271	0.6606	0.6650	0.6226	0.8036	0.7874	0.0169	0.6593	0.5314	0.7494
attn	human_hepatocytes	human	ENST00000360240.10	MAP4	protein_coding	annotated	520	3978	5142	89012	88486	0.8303	0.8277	0.8018	0.8254	0.7943	0.0202	0.3918	0.8769	0.7484
attn	human_hepatocytes	human	ENST00000264896.8	SCARB2	protein_coding	annotated	282	1718	4694	49804	46643	0.8201	0.8112	0.8003	0.8070	0.7837	0.0158	0.4078	0.7931	0.7483
attn	human_hepatocytes	human	ENST00000193403.11	ACTN1	protein_coding	annotated	385	3063	3799	45916	44240	0.7815	0.7744	0.7786	0.7795	0.7769	0.0132	0.4326	0.8731	0.7476
attn	human_hepatocytes	human	ENST00000918691.1	HDLBP	protein_coding	annotated	224	4138	4524	107371	106183	0.8355	0.8082	0.7919	0.8396	0.7959	0.0212	0.4059	0.8715	0.7476
attn	human_hepatocytes	human	ENST00000676749.1	HNRNPA2B1	protein_coding	annotated	725	1750	2978	139276	114899	0.8825	0.8800	0.8609	0.8603	0.8466	0.0426	0.2700	0.8638	0.7436
attn	human_hepatocytes	human	ENST00000589228.6	PRKAR1A	protein_coding	annotated	126	1271	4253	43330	42877	0.8956	0.8719	0.8693	0.8898	0.8604	0.0477	0.3442	0.8604	0.7431
attn	human_hepatocytes	human	ENST00000342981.8	EIF4G1	protein_coding	annotated	415	5217	5667	30701	28762	0.7493	0.7368	0.7644	0.7496	0.7656	0.0104	0.5342	0.8634	0.7429
attn	human_hepatocytes	human	ENST00000698750.1	PPIP5K2	protein_coding	uORF	144	278	5947	4357	918	0.7437	0.7087	0.6097	0.9042	0.8367	0.0392	0.6521	0.8649	0.7429
attn	human_hepatocytes	human	ENST00000465590.2	SKIL	protein_coding	annotated	1056	3110	7528	15553	12682	0.7938	0.8020	0.7708	0.8141	0.7993	0.0249	0.5345	0.8626	0.7425
attn	human_hepatocytes	human	ENST00000470914.5	IAH1	protein_coding	uORF	31	120	2137	10554	1245	0.7437	0.7014	0.6859	0.9369	0.8307	0.0371	0.4873	0.8755	0.7425
attn	human_hepatocytes	human	ENST00000254480.10	SMARCC1	protein_coding	annotated	97	3414	6354	15955	15818	0.8240	0.8070	0.7993	0.8174	0.7895	0.0212	0.5611	0.8595	0.7417
attn	human_hepatocytes	human	ENST00000330938.8	PTTG1IP	protein_coding	annotated	75	617	2600	44517	41981	0.8537	0.8386	0.8384	0.8487	0.8329	0.0385	0.2725	0.8619	0.7411
attn	human_hepatocytes	human	ENST00000550804.6	CALCOCO1	protein_coding	annotated	74	2149	5576	24954	24510	0.8170	0.8026	0.7946	0.8089	0.7844	0.0195	0.4685	0.8870	0.7406
attn	human_hepatocytes	human	ENST00000896443.1	SPARC	protein_coding	annotated	90	1052	1091	1314492	1313637	0.8061	0.7929	0.8004	0.8025	0.7966	0.0246	0.2362	0.8766	0.7405
attn	human_hepatocytes	human	ENST00000878361.1	SMAD2	protein_coding	annotated	518	1921	3497	9576	9247	0.8129	0.8092	0.7976	0.7996	0.7813	0.0183	0.5522	0.8605	0.7405
attn	human_hepatocytes	human	ENST00000275603.9	CCT6A	protein_coding	annotated	85	1680	2584	27194	27137	0.8173	0.8288	0.8551	0.8129	0.8507	0.0458	0.3759	0.8693	0.7394
attn	human_hepatocytes	human	ENST00000302763.12	CTNNA1	protein_coding	annotated	89	2809	3754	89629	89208	0.7872	0.7926	0.7799	0.7827	0.7745	0.0164	0.3805	0.8766	0.7382
attn	human_hepatocytes	human	ENST00000258341.5	LAMC1	protein_coding	annotated	298	5127	7929	186161	184321	0.8141	0.7897	0.7857	0.8067	0.7743	0.0163	0.3766	0.8752	0.7381
attn	human_hepatocytes	human	ENST00000445140.6	FXR1	protein_coding	annotated	15	1634	2651	24309	23486	0.8590	0.8561	0.8179	0.8570	0.8132	0.0323	0.4629	0.8696	0.7381
attn	human_hepatocytes	human	ENST00000295809.12	IFI16	protein_coding	annotated	264	2633	2883	112741	107979	0.7979	0.7867	0.7840	0.7948	0.7780	0.0180	0.3601	0.8587	0.7380
attn	human_hepatocytes	human	ENST00000395734.8	MAP4	protein_coding	annotated	96	3503	5600	85979	85614	0.8316	0.8245	0.7949	0.8251	0.7850	0.0209	0.3930	0.8795	0.7380
attn	human_hepatocytes	human	ENST00000271877.11	UBAP2L	protein_coding	annotated	168	3407	3997	27916	27753	0.8249	0.8193	0.8008	0.8225	0.7971	0.0260	0.4908	0.8661	0.7380
attn	human_hepatocytes	human	ENST00000369077.4	MCMBP	protein_coding	annotated	260	2182	4216	19927	19670	0.8313	0.8119	0.8028	0.8213	0.7881	0.0226	0.5036	0.8480	0.7372
attn	human_hepatocytes	human	ENST00000443166.5	GTF2I	protein_coding	annotated	44	868	979	11161	11138	0.8316	0.8161	0.8201	0.8287	0.8168	0.0342	0.4510	0.8581	0.7369
attn	human_hepatocytes	human	ENST00000894840.1	HNRNPD	protein_coding	annotated	325	1392	4230	32124	29184	0.8129	0.8304	0.8453	0.8037	0.8346	0.0410	0.3483	0.8679	0.7368
attn	human_hepatocytes	human	ENST00000861991.1	ANXA2	protein_coding	annotated	110	1153	1446	95719	95218	0.8449	0.8445	0.8397	0.8427	0.8374	0.0427	0.2908	0.8015	0.7353
attn	human_hepatocytes	human	ENST00000891968.1	PKM	protein_coding	annotated	256	1956	2578	286655	282732	0.9056	0.8914	0.8567	0.9040	0.8533	0.0485	0.2516	0.8679	0.7351
attn	human_hepatocytes	human	ENST00000398125.5	ADD1	protein_coding	annotated	189	2177	4079	54025	42952	0.8253	0.8409	0.8106	0.7801	0.7963	0.0271	0.3998	0.8664	0.7347
attn	human_hepatocytes	human	ENST00000378150.1	NMT2	protein_coding	Overlap_uORF	17	394	2457	15032	3667	0.8017	0.7933	0.7905	0.8578	0.7852	0.0226	0.5112	0.7799	0.7346
attn	human_hepatocytes	human	ENST00000246533.8	CAPNS1	protein_coding	annotated	108	914	1428	84202	82009	0.8884	0.8742	0.8456	0.8841	0.8374	0.0434	0.3140	0.8648	0.7336
attn	human_hepatocytes	human	ENST00000913879.1	HNRNPC	protein_coding	annotated	562	1482	3321	28791	23321	0.7718	0.7444	0.7963	0.8274	0.8512	0.0487	0.3346	0.8364	0.7328
attn	human_hepatocytes	human	ENST00000706365.1	EPB41L2	protein_coding	annotated	49	3222	4439	19334	18964	0.7867	0.7614	0.7535	0.8038	0.7749	0.0190	0.5563	0.8583	0.7327
attn	human_hepatocytes	human	ENST00000428931.6	UBAP2L	protein_coding	annotated	62	3325	3877	28402	28251	0.8196	0.8106	0.7935	0.8176	0.7903	0.0255	0.4919	0.8656	0.7327
attn	human_hepatocytes	human	ENST00000588188.7	PRKAR1A	protein_coding	annotated	126	1139	1334	29159	28755	0.8675	0.8712	0.8446	0.8662	0.8429	0.0463	0.3502	0.8591	0.7315
attn	human_hepatocytes	human	ENST00000358738.3	ZBTB1	protein_coding	annotated	392	2326	4119	15399	15313	0.7851	0.7940	0.7955	0.7708	0.7799	0.0218	0.5376	0.8371	0.7313
attn	human_hepatocytes	human	ENST00000960434.1	MGST1	protein_coding	annotated	74	655	1023	106873	106634	0.8832	0.8827	0.8633	0.8770	0.8550	0.0508	0.2854	0.8266	0.7310
attn	human_hepatocytes	human	ENST00000300289.10	PDIA3	protein_coding	annotated	103	1620	3680	113787	111642	0.8851	0.8757	0.8555	0.8839	0.8538	0.0503	0.2724	0.8698	0.7310
attn	human_hepatocytes	human	ENST00000935128.1	STMN1	protein_coding	annotated	147	596	1510	24130	23760	0.8582	0.8481	0.8361	0.8374	0.8090	0.0339	0.3712	0.8734	0.7307
attn	human_hepatocytes	human	ENST00000358278.7	TPM1	protein_coding	annotated	146	1000	1717	37071	36829	0.8020	0.8180	0.7967	0.7814	0.7741	0.0198	0.3622	0.8906	0.7303
attn	human_hepatocytes	human	ENST00000970392.1	ILF3	protein_coding	annotated	312	3008	3522	21558	20864	0.9009	0.8693	0.8190	0.9023	0.8193	0.0382	0.4941	0.8826	0.7298
attn	human_hepatocytes	human	ENST00000403994.9	TPM1	protein_coding	annotated	84	938	1217	29997	29918	0.7896	0.8094	0.7959	0.7785	0.7844	0.0244	0.3694	0.9000	0.7297
attn	human_hepatocytes	human	ENST00000504734.5	CANX	protein_coding	annotated	86	1969	2232	219115	219002	0.8312	0.7938	0.8087	0.8282	0.8037	0.0323	0.3270	0.8503	0.7296
attn	human_hepatocytes	human	ENST00000295688.8	CCT3	protein_coding	annotated	109	1746	1977	45807	45096	0.7892	0.7677	0.7741	0.7885	0.7733	0.0198	0.4004	0.8700	0.7294
attn	human_hepatocytes	human	ENST00000258198.7	DYNC1LI2	protein_coding	annotated	19	1497	4326	25340	25303	0.8740	0.8471	0.8299	0.8666	0.8138	0.0363	0.4405	0.8679	0.7294
attn	human_hepatocytes	human	ENST00000331483.9	P4HB	protein_coding	annotated	65	1591	2437	482833	481664	0.8953	0.8701	0.8412	0.8923	0.8332	0.0440	0.2423	0.9055	0.7284
attn	human_hepatocytes	human	ENST00000296503.10	HMGB2	protein_coding	annotated	108	737	1441	13570	12946	0.7991	0.8234	0.8226	0.7888	0.8160	0.0377	0.4128	0.8253	0.7280
attn	human_hepatocytes	human	ENST00000429705.6	SNRK	protein_coding	uORF	49	195	5128	1691	128	0.5739	0.5823	0.5945	0.6666	0.7779	0.0225	0.7000	0.7500	0.7279
attn	human_hepatocytes	human	ENST00000397763.6	COL6A2	protein_coding	annotated	90	2846	3156	339437	339204	0.7621	0.7581	0.7614	0.7590	0.7580	0.0139	0.2682	0.8908	0.7279
attn	human_hepatocytes	human	ENST00000944686.1	G3BP2	protein_coding	annotated	287	1666	4310	32432	32354	0.8114	0.8151	0.8129	0.7930	0.7886	0.0272	0.4282	0.8376	0.7273
attn	human_hepatocytes	human	ENST00000252015.3	TRPC4AP	protein_coding	annotated	27	2420	3162	26262	26235	0.8117	0.7884	0.7974	0.8067	0.7907	0.0281	0.4888	0.8780	0.7273
attn	human_hepatocytes	human	ENST00000265062.8	RAB7A	protein_coding	annotated	186	809	2185	43299	40892	0.8550	0.8390	0.8229	0.8440	0.8044	0.0344	0.3489	0.8741	0.7254
attn	human_hepatocytes	human	ENST00000315970.12	OS9	protein_coding	annotated	31	2034	2682	81018	80994	0.7888	0.7974	0.7887	0.7832	0.7821	0.0254	0.3557	0.8786	0.7253
attn	human_hepatocytes	human	ENST00000627109.2	CTNNA1	protein_coding	annotated	96	2621	3831	89454	79159	0.7618	0.7671	0.7683	0.7687	0.7609	0.0164	0.3806	0.8760	0.7252
attn	human_hepatocytes	human	ENST00000503811.5	MATR3	protein_coding	annotated	232	1911	2518	34126	34036	0.8197	0.8145	0.8040	0.8146	0.7968	0.0314	0.4151	0.8242	0.7252
attn	human_hepatocytes	human	ENST00000230461.11	TMEM30A	protein_coding	annotated	155	1240	4418	49956	49688	0.8575	0.8366	0.8193	0.8450	0.7993	0.0328	0.3573	0.8446	0.7244
attn	human_hepatocytes	human	ENST00000288398.10	TPM1	protein_coding	annotated	199	1053	1295	31306	31015	0.7715	0.7890	0.7888	0.7578	0.7761	0.0234	0.3614	0.8967	0.7242
attn	human_hepatocytes	human	ENST00000273047.9	RAB5A	protein_coding	annotated	519	1166	2518	8478	6402	0.8179	0.8147	0.8165	0.8095	0.7921	0.0301	0.5029	0.8422	0.7240
attn	human_hepatocytes	human	ENST00000410080.8	PRPF40A	protein_coding	annotated	351	3335	8048	28555	28512	0.8290	0.8100	0.7982	0.8198	0.7816	0.0258	0.5116	0.8643	0.7238
attn	human_hepatocytes	human	ENST00000398805.8	HSDL2	protein_coding	annotated	57	1313	3174	9810	9730	0.8303	0.8518	0.8155	0.8200	0.8021	0.0341	0.5261	0.8472	0.7238
attn	human_hepatocytes	human	ENST00000310786.10	CD164	protein_coding	annotated	90	683	3020	51361	50248	0.8354	0.8479	0.8268	0.8148	0.8035	0.0350	0.3157	0.8712	0.7232
attn	human_hepatocytes	human	ENST00000233057.9	EIF2AK2	protein_coding	annotated	257	1912	9975	12092	11891	0.8318	0.8193	0.7988	0.8170	0.7764	0.0243	0.5484	0.8431	0.7225
attn	human_hepatocytes	human	ENST00000540564.5	SOAT1	protein_coding	Overlap_uORF	232	393	6861	25842	3895	0.7858	0.7878	0.7692	0.7320	0.8042	0.0357	0.4480	0.8621	0.7223
attn	human_hepatocytes	human	ENST00000956968.1	ZBTB1	protein_coding	annotated	98	2239	3236	16499	16450	0.7629	0.7672	0.7780	0.7523	0.7668	0.0204	0.5416	0.8364	0.7222
attn	human_hepatocytes	human	ENST00000343815.10	UBAP2L	protein_coding	annotated	107	3058	3411	27484	27438	0.8123	0.7994	0.7837	0.8103	0.7804	0.0264	0.4859	0.8643	0.7216
attn	human_hepatocytes	human	ENST00000256854.10	NARS1	protein_coding	annotated	120	1766	2762	41838	40869	0.7694	0.7623	0.7734	0.7547	0.7574	0.0168	0.4299	0.8586	0.7210
attn	human_hepatocytes	human	ENST00000343218.10	DPYSL3	protein_coding	annotated	211	2265	5492	117912	114335	0.8302	0.8045	0.7924	0.8225	0.7795	0.0265	0.3287	0.8406	0.7205
attn	human_hepatocytes	human	ENST00000372755.7	VCL	protein_coding	annotated	95	3295	6489	57504	57334	0.7534	0.7565	0.7748	0.7395	0.7596	0.0181	0.4417	0.8557	0.7203
attn	human_hepatocytes	human	ENST00000856359.1	IL4R	protein_coding	annotated	508	2985	3933	17561	17076	0.8087	0.7856	0.7832	0.8099	0.7851	0.0289	0.4955	0.8384	0.7203
attn	human_hepatocytes	human	ENST00000266679.8	CPSF6	protein_coding	annotated	32	1798	2229	13353	13341	0.8199	0.7861	0.8048	0.8175	0.8008	0.0355	0.5147	0.8301	0.7196
attn	human_hepatocytes	human	ENST00000371335.4	LAMP2	protein_coding	annotated	138	1370	4030	72833	71089	0.7944	0.8125	0.8003	0.7745	0.7773	0.0260	0.3571	0.8647	0.7195
attn	human_hepatocytes	human	ENST00000244741.10	CDKN1A	protein_coding	annotated	91	585	2117	63492	56800	0.8512	0.8939	0.8677	0.8910	0.8391	0.0500	0.2937	0.7975	0.7193
attn	human_hepatocytes	human	ENST00000229794.9	MAPK14	protein_coding	annotated	351	1433	4222	18456	17394	0.7660	0.7921	0.8008	0.7724	0.7661	0.0218	0.4633	0.8330	0.7185
attn	human_hepatocytes	human	ENST00000413644.6	CD164	protein_coding	annotated	80	649	2414	45695	44930	0.8378	0.8441	0.8273	0.8206	0.8074	0.0393	0.3300	0.8716	0.7167
attn	human_hepatocytes	human	ENST00000258091.10	CCT7	protein_coding	annotated	72	1703	1847	56706	56609	0.8054	0.8236	0.8023	0.8032	0.7990	0.0361	0.3871	0.8693	0.7165
attn	human_hepatocytes	human	ENST00000428304.7	ABHD4	protein_coding	annotated	8	1036	3051	17793	17733	0.8111	0.8114	0.7949	0.7918	0.7719	0.0252	0.4447	0.8576	0.7164
attn	human_hepatocytes	human	ENST00000370253.6	FNBP1L	protein_coding	annotated	1	1644	3889	8800	8797	0.7858	0.7872	0.7781	0.7665	0.7558	0.0183	0.5878	0.8524	0.7163
attn	human_hepatocytes	human	ENST00000700707.1	CLTC	protein_coding	annotated	366	5393	6291	113826	113086	0.7531	0.7366	0.7436	0.7469	0.7366	0.0096	0.4289	0.8486	0.7163
attn	human_hepatocytes	human	ENST00000388712.7	GOLM1	protein_coding	annotated	170	1375	3046	20895	20234	0.8106	0.7967	0.7993	0.8058	0.7937	0.0342	0.4291	0.9020	0.7163
attn	human_hepatocytes	human	ENST00000496455.7	GMPS	protein_coding	annotated	222	2303	8631	17793	17544	0.8415	0.8338	0.7883	0.8311	0.7705	0.0248	0.5147	0.8137	0.7159
attn	human_hepatocytes	human	ENST00000350878.9	MAP4K4	protein_coding	annotated	338	4159	7600	18603	18292	0.8182	0.7976	0.7648	0.8126	0.7548	0.0181	0.5528	0.8597	0.7159
attn	human_hepatocytes	human	ENST00000342988.8	SMAD4	protein_coding	annotated	539	2197	8772	4430	3844	0.7670	0.7838	0.7938	0.7818	0.8146	0.0424	0.5877	0.8502	0.7158
attn	human_hepatocytes	human	ENST00000918235.1	SF3B3	protein_coding	annotated	142	3795	4277	31541	30215	0.8390	0.7851	0.7662	0.8560	0.7907	0.0332	0.5154	0.8670	0.7156
attn	human_hepatocytes	human	ENST00000335508.11	SF3B1	protein_coding	annotated	30	3944	6463	51941	51829	0.7373	0.7483	0.7595	0.7245	0.7461	0.0147	0.4844	0.8567	0.7148
attn	human_hepatocytes	human	ENST00000857552.1	NRBP1	protein_coding	annotated	66	1706	2153	26258	26227	0.8042	0.7905	0.7653	0.7976	0.7563	0.0192	0.4545	0.8527	0.7148
attn	human_hepatocytes	human	ENST00000531224.6	BCLAF1	protein_coding	annotated	249	3011	7494	6073	5337	0.8010	0.8305	0.8260	0.8365	0.8164	0.0440	0.5039	0.8342	0.7138
attn	human_hepatocytes	human	ENST00000336735.9	SEL1L	protein_coding	annotated	110	2494	7919	47868	47057	0.8224	0.7903	0.7768	0.8196	0.7651	0.0235	0.4344	0.8650	0.7137
attn	human_hepatocytes	human	ENST00000941864.1	RABGAP1	protein_coding	annotated	68	3277	4866	15834	15389	0.7428	0.7619	0.7388	0.7565	0.7390	0.0123	0.5874	0.8498	0.7131
attn	human_hepatocytes	human	ENST00000299608.7	TMX3	protein_coding	annotated	128	1492	4737	31253	30818	0.8164	0.8141	0.7907	0.7969	0.7642	0.0235	0.4563	0.8475	0.7129
attn	human_hepatocytes	human	ENST00000941531.1	PGM3	protein_coding	annotated	798	2483	2806	34684	34630	0.8074	0.7873	0.7825	0.7969	0.7675	0.0250	0.4557	0.8487	0.7126
attn	human_hepatocytes	human	ENST00000438146.7	RBFOX2	protein_coding	annotated	400	1755	7224	11523	11092	0.8244	0.8189	0.7921	0.8079	0.7673	0.0253	0.5275	0.8431	0.7119
attn	human_hepatocytes	human	ENST00000260506.12	FNBP1L	protein_coding	annotated	152	1807	5341	9284	9023	0.7839	0.7835	0.7713	0.7647	0.7490	0.0173	0.5879	0.8516	0.7119
attn	human_hepatocytes	human	ENST00000880758.1	SRSF5	protein_coding	annotated	198	1016	1577	36747	35206	0.8585	0.8547	0.8274	0.8570	0.8216	0.0468	0.3707	0.8627	0.7118
attn	human_hepatocytes	human	ENST00000303127.12	LMAN2	protein_coding	annotated	22	1092	1611	52548	52467	0.7935	0.7823	0.7706	0.7828	0.7578	0.0213	0.3496	0.9079	0.7117
attn	human_hepatocytes	human	ENST00000407004.8	ILF3	protein_coding	annotated	233	2353	3653	20627	19707	0.8766	0.8464	0.8045	0.8775	0.8033	0.0399	0.4897	0.8802	0.7116
attn	human_hepatocytes	human	ENST00000370803.8	PHF6	protein_coding	annotated	203	1300	4430	8067	7272	0.8657	0.8418	0.8103	0.8409	0.8024	0.0399	0.5519	0.8526	0.7109
attn	human_hepatocytes	human	ENST00000371121.5	SMARCA1	protein_coding	annotated	121	3333	3989	44451	44365	0.7740	0.7567	0.7575	0.7686	0.7496	0.0182	0.4856	0.8586	0.7106
attn	human_hepatocytes	human	ENST00000406969.5	MED15	protein_coding	Overlap_uORF	62	157	3210	9138	917	0.6685	0.6792	0.6728	0.6807	0.7804	0.0313	0.5448	0.5758	0.7106
attn	human_hepatocytes	human	ENST00000909724.1	NUCB2	protein_coding	annotated	497	1762	1950	54957	51096	0.8034	0.7980	0.7770	0.8148	0.7982	0.0385	0.3884	0.8594	0.7105
attn	human_hepatocytes	human	ENST00000261890.7	RAB11A	protein_coding	annotated	96	746	4895	42168	41875	0.7921	0.8224	0.8376	0.7561	0.8066	0.0418	0.3702	0.8404	0.7103
attn	human_hepatocytes	human	ENST00000433674.6	CAPN2	protein_coding	annotated	237	2105	3264	29971	29907	0.8469	0.8198	0.8236	0.8424	0.8154	0.0451	0.4377	0.8883	0.7103
